iter	Passed	Remaining
595	4900	3321
596	4907	3312
597	4915	3304
598	4921	3294
599	4930	3286
600	4936	3277
601	4942	3267
602	4951	3260
603	4957	3250
604	4966	3242
605	4972	3232
606	4980	3224
607	4986	3215
608	4995	3207
609	5002	3198
610	5009	3189
611	5016	3180
612	5022	3171
613	5031	3163
614	5037	3153
615	5046	3145
616	5053	3136
617	5062	3129
618	5069	3120
619	5078	3112
620	5085	3103
621	5093	3095
622	5100	3086
623	5106	3076
624	5114	3068
625	5120	3059
626	5129	3051
627	5135	3042
628	5145	3034
629	5152	3025
630	5159	3017
631	5166	3008
632	5172	2998
633	5180	2990
634	5187	2981
635	5195	2973
636	5201	2964
637	5210	2956
638	5216	2947
639	5223	2937
640	5230	2929
641	5237	2920
642	5246	2912
643	5252	2903
644	5261	2895
645	5267	2886
646	5276	2878
647	5283	2869
648	5291	2862
649	5298	2852
650	5307	2845
651	5314	2836
652	5322	2828
653	5329	2819
654	5335	2810
655	5344	2802
656	5350	2793
657	5360	2785
658	5366	2776
659	5374	2768
660	5381	2759
661	5390	2752
662	5396	2742
663	5405	2735
664	5411	2726
665	5419	2717
666	5426	2709
667	5432	2700
668	5440	2691
669	5448	2683
670	5457	2675
671	5463	2666
672	5472	2659
673	5479	2650
674	5488	2642
675	5494	2633
676	5503	2625
677	5510	2616
678	5517	2608
679	5524	2599
680	5530	2590
681	5539	2583
682	5545	2574
683	5554	2566
684	5561	2557
685	5570	2549
686	5576	2540
687	5585	2532
688	5591	2523
689	5600	2516
690	5607	2507
691	5614	2498
692	5622	2490
693	5628	2481
694	5636	2473
695	5643	2464
696	5651	2456
697	5658	2448
698	5667	2440
699	5673	2431
700	5682	2423
701	5689	2415
702	5698	2407
703	5705	2398
704	5713	2390
705	5720	2382
706	5727	2373
707	5735	2365
708	5742	2356
709	5752	2349
710	5758	2340
711	5767	2332
712	5774	2324
713	5783	2316
714	5791	2308
715	5799	2300
716	5806	2291
717	5815	2283
718	5821	2275
719	5830	2267
720	5837	2258
721	5845	2250
722	5853	2242
723	5861	2234
724	5868	2226
725	5876	2217
726	5883	2209
727	5890	2200
728	5899	2193
729	5905	2184
730	5914	2176
731	5921	2167
732	5929	2159
733	5936	2151
734	5945	2143
735	5952	2134
736	5961	2127
737	5967	2118
738	5976	2110
739	5982	2102
740	5990	2093
741	5997	2085
742	6004	2076
743	6013	2069
744	6020	2060
745	6028	2052
746	6035	2044
747	6043	2036
748	6050	2027
749	6059	2019
750	6065	2011
751	6074	2003
752	6081	1994
753	6089	1986
754	6097	1978
755	6105	1970
756	6113	1962
757	6119	1953
758	6128	1945
759	6134	1937
760	6143	1929
761	6149	1920
762	6157	1912
763	6164	1904
764	6173	1896
765	6179	1887
766	6188	1879
767	6195	1871
768	6203	1863
769	6210	1855
770	6217	1846
771	6225	1838
772	6232	1830
773	6241	1822
774	6247	1813
775	6256	1806
776	6263	1797
777	6308	1800
778	6323	1793
779	6332	1786
780	6341	1778
781	6348	1769
782	6357	1761
783	6363	1753
784	6372	1745
785	6378	1736
786	6387	1728
787	6393	1720
788	6402	1712
789	6409	1703
790	6418	1695
791	6424	1687
792	6433	1679
793	6440	1670
794	6446	1662
795	6455	1654
796	6462	1645
797	6470	1637
798	6477	1629
799	6483	1620
800	6492	1613
801	6498	1604
802	6507	1596
803	6514	1588
804	6522	1580
805	6529	1571
806	6538	1563
807	6545	1555
808	6553	1547
809	6560	1538
810	6568	1530
811	6575	1522
812	6581	1513
813	6590	1505
814	6597	1497
815	6606	1489
816	6612	1481
817	6621	1473
818	6628	1464
819	6636	1456
820	6643	1448
821	6652	1440
822	6658	1432
823	6667	1424
824	6674	1415
825	6682	1407
826	6688	1399
827	6695	1390
828	6704	1382
829	6710	1374
830	6720	1366
831	6726	1358
832	6734	1350
833	6740	1341
834	6749	1333
835	6756	1325
836	6764	1317
837	6771	1308
838	6777	1300
839	6785	1292
840	6792	1284
841	6800	1276
842	6807	1267
843	6815	1259
844	6822	1251
845	6831	1243
846	6838	1235
847	6847	1227
848	6853	1218
849	6862	1210
850	6869	1202
